2023-04-23 21:24:08.346 [main] INFO  top.wuml.ServerApplication - The following 1 profile is active: "dev"
2023-04-23 21:24:09.742 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-23 21:24:09.746 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-23 21:24:09.823 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43 ms. Found 0 Redis repository interfaces.
2023-04-23 21:24:10.689 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-23 21:24:10.698 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-23 21:24:10.701 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-23 21:24:10.701 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-23 21:24:10.854 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-23 21:24:10.854 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2430 ms
2023-04-23 21:24:14.912 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5bf7f15f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@14b26e90, org.springframework.security.web.context.SecurityContextHolderFilter@1d06801f, org.springframework.security.web.header.HeaderWriterFilter@7f77e065, org.springframework.security.web.authentication.logout.LogoutFilter@2a6dbb7c, top.wuml.security.filter.AuthenticationTokenFilter@661e279d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6ffbf0ac, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@ad5cffa, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@11309dd4, org.springframework.security.web.session.SessionManagementFilter@1dfe5dd1, org.springframework.security.web.access.ExceptionTranslationFilter@32513dea, org.springframework.security.web.access.intercept.AuthorizationFilter@3dd750ba]
2023-04-23 21:24:15.624 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-23 21:24:15.672 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-23 21:24:15.691 [main] INFO  top.wuml.ServerApplication - Started ServerApplication in 7.943 seconds (process running for 10.23)
2023-04-23 21:24:25.143 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-23 21:24:25.149 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-23 21:24:25.153 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-04-23 21:24:27.429 [http-nio-8080-exec-29] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 285 ms
2023-04-23 21:26:45.933 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-23 21:26:45.983 [main] INFO  top.wuml.ServerApplication - Starting ServerApplication using Java 17.0.4.1 with PID 18360 (D:\ideaWorkspace\api-boot\api-server\target\classes started by 65648 in D:\ideaWorkspace\api-boot)
2023-04-23 21:26:45.984 [main] INFO  top.wuml.ServerApplication - The following 1 profile is active: "dev"
2023-04-23 21:26:47.214 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-23 21:26:47.218 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-23 21:26:47.266 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29 ms. Found 0 Redis repository interfaces.
2023-04-23 21:26:48.118 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-23 21:26:48.131 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-23 21:26:48.132 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-23 21:26:48.133 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-23 21:26:48.262 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-23 21:26:48.263 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2202 ms
2023-04-23 21:26:51.890 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@27b490de, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@36cf16a6, org.springframework.security.web.context.SecurityContextHolderFilter@4ad8d36f, org.springframework.security.web.header.HeaderWriterFilter@2295566b, org.springframework.security.web.authentication.logout.LogoutFilter@2375a976, top.wuml.security.filter.AuthenticationTokenFilter@1e734eee, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@68c4a860, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@570ed9c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3dd750ba, org.springframework.security.web.session.SessionManagementFilter@7fb82f73, org.springframework.security.web.access.ExceptionTranslationFilter@1d1b3620, org.springframework.security.web.access.intercept.AuthorizationFilter@3573e19d]
2023-04-23 21:26:52.686 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-23 21:26:52.724 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-23 21:26:52.740 [main] INFO  top.wuml.ServerApplication - Started ServerApplication in 7.316 seconds (process running for 9.067)
